change_type,entity_type,category,ticker,name,horizon_months,previous_rank,current_rank,rank_delta,previous_return,current_return,return_delta,previous_report_date,current_report_date,detail
within_category,stock,"Digital Health, Specialty, Benefits",AMWL,Amwell,3,1,1,0,0.696361355082,0.64464993395,-0.051711421132,2026-08-10,2026-08-17,"Amwell moved from rank #1 to #1 within Digital Health, Specialty, Benefits at 3 months; return +69.6% to +64.5%."
within_category,stock,"Digital Health, Specialty, Benefits",CON,Concentra Group,12,3,3,0,0.575393154487,0.524526678141,-0.050866476346,2026-08-10,2026-08-17,"Concentra Group moved from rank #3 to #3 within Digital Health, Specialty, Benefits at 12 months; return +57.5% to +52.5%."
within_category,stock,"Digital Health, Specialty, Benefits",CON,Concentra Group,24,4,3,1,0.484742807323,0.513455788125,0.028712980802,2026-08-10,2026-08-17,"Concentra Group moved from rank #4 to #3 within Digital Health, Specialty, Benefits at 24 months; return +48.5% to +51.3%."
within_category,stock,"Digital Health, Specialty, Benefits",CON,Concentra Group,3,3,4,-1,0.409768211921,0.369540007731,-0.04022820419,2026-08-10,2026-08-17,"Concentra Group moved from rank #3 to #4 within Digital Health, Specialty, Benefits at 3 months; return +41.0% to +37.0%."
within_category,stock,"Digital Health, Specialty, Benefits",GDRX,GoodRx,12,7,7,0,0.0605187319885,0,-0.0605187319885,2026-08-10,2026-08-17,"GoodRx moved from rank #7 to #7 within Digital Health, Specialty, Benefits at 12 months; return +6.1% to +0.0%."
within_category,stock,"Digital Health, Specialty, Benefits",GDRX,GoodRx,24,9,9,0,-0.48959778086,-0.479776847978,0.009820932882,2026-08-10,2026-08-17,"GoodRx moved from rank #9 to #9 within Digital Health, Specialty, Benefits at 24 months; return -49.0% to -48.0%."
within_category,stock,"Digital Health, Specialty, Benefits",GDRX,GoodRx,3,4,2,2,0.260273972603,0.534979423868,0.274705451265,2026-08-10,2026-08-17,"GoodRx moved from rank #4 to #2 within Digital Health, Specialty, Benefits at 3 months; return +26.0% to +53.5%."
within_category,stock,"Digital Health, Specialty, Benefits",HIMS,Hims & Hers,12,9,9,0,-0.391798228725,-0.388309430682,0.003488798043,2026-08-10,2026-08-17,"Hims & Hers moved from rank #9 to #9 within Digital Health, Specialty, Benefits at 12 months; return -39.2% to -38.8%."
within_category,stock,"Digital Health, Specialty, Benefits",HIMS,Hims & Hers,24,2,2,0,0.979323308271,0.806803594352,-0.172519713919,2026-08-10,2026-08-17,"Hims & Hers moved from rank #2 to #2 within Digital Health, Specialty, Benefits at 24 months; return +97.9% to +80.7%."
within_category,stock,"Digital Health, Specialty, Benefits",HIMS,Hims & Hers,3,7,7,0,0.117438981252,0.12375249501,0.006313513758,2026-08-10,2026-08-17,"Hims & Hers moved from rank #7 to #7 within Digital Health, Specialty, Benefits at 3 months; return +11.7% to +12.4%."
within_category,stock,"Digital Health, Specialty, Benefits",HQY,HealthEquity,12,6,5,1,0.124449220849,0.16509066637,0.040641445521,2026-08-10,2026-08-17,"HealthEquity moved from rank #6 to #5 within Digital Health, Specialty, Benefits at 12 months; return +12.4% to +16.5%."
within_category,stock,"Digital Health, Specialty, Benefits",HQY,HealthEquity,24,5,5,0,0.470141913728,0.398637820513,-0.071504093215,2026-08-10,2026-08-17,"HealthEquity moved from rank #5 to #5 within Digital Health, Specialty, Benefits at 24 months; return +47.0% to +39.9%."
within_category,stock,"Digital Health, Specialty, Benefits",HQY,HealthEquity,3,5,5,0,0.233262611975,0.27455275648,0.041290144505,2026-08-10,2026-08-17,"HealthEquity moved from rank #5 to #5 within Digital Health, Specialty, Benefits at 3 months; return +23.3% to +27.5%."
